Registration Number,Association Name,State,Cancellation Type,Cancellation Year
136470128,SAINATH JAGRITI GRAMIN VIKAS SANSTHAN,Uttar Pradesh,On Violation,2019
136760212,SAI MAA VISHNU SHAKTI TRUST,Uttar Pradesh,On Violation,2019
136670024,Sahyog Shakti,Uttar Pradesh,On Violation,2019
136590031,Sahbhagi Gramin Vikas Samiti,Uttar Pradesh,On Violation,2019
136580057,SAHAINI SOCIAL SERVICE SOCIETY,Uttar Pradesh,On Violation,2019
137410003,Rawat Shiksha Samiti,Uttar Pradesh,On Violation,2019
136670004,Rameshwari Manav Kalyan Samiti,Uttar Pradesh,On Violation,2019
136760129,Rajkali Mahila Kalyan Samiti,Uttar Pradesh,On Violation,2019
136710013,Rahi Foundation,Uttar Pradesh,On Violation,2019
136230191,PREMLATA JAN KALYAN SAMITI,Uttar Pradesh,On Violation,2019
136530088,Pragati Sewa Sansthan,Uttar Pradesh,On Violation,2019
137280036,Poonam mahila prashikshan sansthan,Uttar Pradesh,On Violation,2019
136630051,PEOPLES ASSOCIATION FOR DEVELOPMENT,Uttar Pradesh,On Violation,2019
137390003,Patha Kol Vikas Samiti,Uttar Pradesh,On Violation,2019
136550471,PARIVARTAN,Uttar Pradesh,On Violation,2019
136630023,Nidan Samajik Sansthan,Uttar Pradesh,On Violation,2019
136760233,NEW LIGHT CHARITABLE TRUST,Uttar Pradesh,On Violation,2019
137280066,NAZAR EDUCATIONAL AND WELFARE SOCIETY,Uttar Pradesh,On Violation,2019
136340016,Navdeep Samajik Vikas Sanstha,Uttar Pradesh,On Violation,2019
136550265,Nav Utkarsh,Uttar Pradesh,On Violation,2019
136720045,Nagrik Utkarsh Samiti,Uttar Pradesh,On Violation,2019
136530109,MOHAMMADIA HOSPITAL SOCIETY,Uttar Pradesh,On Violation,2019
136330003,Methodist Girls Hostel,Uttar Pradesh,On Violation,2019
137160010,MEED INDIA CHARITABLE TRUST,Uttar Pradesh,On Violation,2019
136550172,Mahila Samakhya Up,Uttar Pradesh,On Violation,2019
136590025,Mahila Punorothan Samiti,Uttar Pradesh,On Violation,2019
136540013,Maharaja Agrasen Academy Shiksha Samiti,Uttar Pradesh,On Violation,2019
136280038,Madarsa Arabia Tajvidu Quran,Uttar Pradesh,On Violation,2019
136230180,Lord Budha Educational Charitable Society,Uttar Pradesh,On Violation,2019
136630018,Lokpriya Janhit Sewa Sansthan,Uttar Pradesh,On Violation,2019
136610021,Lok Kalyan Sewa Samiti,Uttar Pradesh,On Violation,2019
136760161,LATE THAKUR PRAVEEN KUMAR CHARITABLE EDUCATIONAL SOCIETY,Uttar Pradesh,On Violation,2019
136250074,Khushboo Bahuddeshiya Sikshan Sewa Sansthan,Uttar Pradesh,On Violation,2019
136550381,Kartavya Shila Mahila Evam Bal Vikas Sansthan,Uttar Pradesh,On Violation,2019
136530105,Kalyani Mahila Bal Vikas Samiti,Uttar Pradesh,On Violation,2019
136230007,Kalvari Bible School,Uttar Pradesh,On Violation,2019
136520043,JOY SOCIETY,Uttar Pradesh,On Violation,2019
137390012,Janutthan Rashtriya Samaj Sewa Sansthan,Uttar Pradesh,On Violation,2019
137340015,JANTA VAIDIK SHIKSHA EVAM SEVA SAMITI,Uttar Pradesh,On Violation,2019
136230158,Israji Devi Shikshan Sansthan,Uttar Pradesh,On Violation,2019
136550119,Institute for Integrated Society Development,Uttar Pradesh,On Violation,2019
137420008,Indian Human Development Society,Uttar Pradesh,On Violation,2019
136530007,Hudson Memorial Christian Educational Society,Uttar Pradesh,On Violation,2019
136220009,Hayya Alal Falah Society,Uttar Pradesh,On Violation,2019
136470092,HAYAT FOUNDATION,Uttar Pradesh,On Violation,2019
136230040,Handi Baba East West Children Hospital,Uttar Pradesh,On Violation,2019
136320027,hamid memorial welfare society,Uttar Pradesh,On Violation,2019
136500002,Gyan Bharti Mahila Avam Bal Vikas Trust,Uttar Pradesh,On Violation,2019
